,count,unique,top,freq,mean,std,min,25%,50%,75%,max
EntryID,2723,2719,bite,2,,,,,,,
LemmaID,2723,2663,dog,3,,,,,,,
Code,2723,2723,A_01_002,1,,,,,,,
Batch,2723,10,K,354,,,,,,,
List,2723.0,,,,1.995225853837679,0.8174569300659317,1.0,1.0,2.0,3.0,3.0
Item,2723.0,,,,52.10172603745868,30.166174727349485,1.0,26.0,51.0,77.0,128.0
EnglishWF(lg10),2389.0,,,,3.076339053997488,0.868358983286992,0.301,2.502,3.039,3.591,6.329
SignFrequency(M),2723.0,,,,4.132198310686742,1.173638439936834,1.0,3.276,4.25,5.0,6.963
SignFrequency(SD),2723.0,,,,1.5429614395886888,0.3039189275615827,0.0,1.358,1.545,1.749,2.465
SignFrequency(Z),2723.0,,,,-0.05055894234300404,0.6587882808644353,-2.039,-0.52,0.017,0.441,1.717
SignFrequency(N),2723.0,,,,27.656995960337863,2.5619176083731534,15.0,26.0,27.0,30.0,35.0
Unknown,2723.0,,,,0.040120088138082995,0.093408640060251,0.0,0.0,0.0,0.037,0.741
SignFrequency(M-Native),2723.0,,,,4.086914065369078,1.2687451795373652,1.0,3.154,4.2,5.0,7.0
SignFrequency(SD-Native),2723.0,,,,1.4814686008079327,0.3768605863804255,0.0,1.25,1.49,1.73,2.738
SignFreq(Z-native),2723.0,,,,-0.059825192802056566,0.6929849020729232,-2.425,-0.5515000000000001,-0.008,0.446,1.71
SignFrequency(N-Native),2723.0,,,,14.16158648549394,2.0256349360968344,7.0,13.0,14.0,15.0,18.0
Unknown(Native),2723.0,,,,0.045146896804994494,0.10770669898206325,0.0,0.0,0.0,0.056,0.857
SignFrequency(M-Nonnative),2723.0,,,,4.148163422695556,1.1699453644805575,1.0,3.308,4.25,5.0,7.0
SignFrequency(SD-Nonnative),2723.0,,,,1.556649651120088,0.37304768590823256,0.0,1.303,1.557,1.814,2.644
SignFrequency(N-Nonnative),2723.0,,,,13.591994124127801,2.2236873111712594,10.0,12.0,14.0,15.0,20.0
SignFreq(Z-Nonnative),2723.0,,,,-0.04295078957032685,0.6604301710271975,-2.135,-0.509,0.022,0.4585,1.725
Unknown(Nonnative),2723.0,,,,0.0366746235769372,0.0925488407240025,0.0,0.0,0.0,0.0,0.733
DominantTranslation,640,597,shave,4,,,,,,,
DominantTranslationAgreement,641.0,,,,0.7478595943837754,0.2109756182724919,0.222,0.593,0.783,0.96,1.0
DominantTranslationAgreement(Native),641.0,,,,0.766817472698908,0.22025923520757934,0.118,0.6,0.833,1.0,1.0
DominantTranslationAgreement(Nonnative),641.0,,,,0.7317223088923557,0.23229937772658946,0.077,0.545,0.769,0.933,1.0
NondominantTranslations,526,524,none,2,,,,,,,
Iconicity(M),2699.0,,,,3.37740163023342,1.6361734289145058,1.0,1.9295,3.061,4.623,7.0
Iconicity(SD),2699.0,,,,1.4028184512782513,0.4217352171893683,0.0,1.155,1.487,1.701,2.447
Iconicity(Z),2699.0,,,,0.049365690996665434,0.7744812726488839,-1.25,-0.6114999999999999,-0.125,0.6,2.166
Iconicity(N),2699.0,,,,27.888106706187475,8.19748393447152,4.0,24.0,27.0,31.0,140.0
Iconicity_ID,668,558,ENVELOPE,4,,,,,,,
IconicityType,1983,4,Arbitrary,1595,,,,,,,
D.Iconicity(M),992.0,,,,3.004304435483871,1.5028552442020873,1.04,1.7275,2.575,4.16,6.94
D.Iconicity(SD),992.0,,,,1.3328931451612904,0.39211089664892573,0.2,1.06,1.3849999999999998,1.63,2.38
D.Iconicity(N),992.0,,,,29.434475806451612,2.088298311052049,26.0,26.0,30.0,31.0,31.0
D.Iconicity(Z),993.0,,,,-0.02599194360523666,0.7743659268360834,-1.71,-0.67,-0.23,0.53,2.2
D.Iconicity(M-native),992.0,,,,2.9761794354838713,1.5069287737055388,1.0,1.7175,2.48,4.11,6.96
D.Iconicity(SD-native),992.0,,,,1.3470463709677418,0.43035883212316345,0.0,1.07,1.37,1.69,2.56
D.Iconicity(Z-native),993.0,,,,-0.025085599194360528,0.7760989981721267,-1.66,-0.66,-0.26,0.52,2.25
D.Iconicity(N-native),992.0,,,,19.964717741935484,1.5824992434970582,18.0,18.0,19.0,21.0,22.0
GuessConsistency,430.0,,,,2.1949767441860466,0.5707324655593496,0.0,1.8725,2.32,2.63,3.0
GuessAccuracy,430.0,,,,0.0959953488372093,0.21136380324211995,0.0,0.0,0.0,0.05,1.0
Transparency(M),430.0,,,,3.723232558139535,0.7627881117101925,1.9,3.2025,3.68,4.11,6.58
Transparency SD,430.0,,,,1.5850930232558142,0.2336761365245677,0.84,1.43,1.585,1.7575,2.26
Transparency Z,430.0,,,,0.0004883720930232547,0.5042976085141141,-1.05,-0.32,-0.07,0.27,2.03
LexicalClass,2718,7,Noun,1279,,,,,,,
Initialized.2.0,2723.0,,,,0.1333088505325009,0.3399706557207201,0.0,0.0,0.0,0.0,1.0
FingerspelledLoanSign.2.0,2723.0,,,,0.01395519647447668,0.11732648565994992,0.0,0.0,0.0,0.0,1.0
Compound.2.0,2723.0,,,,0.0826294528094014,0.27537188342307634,0.0,0.0,0.0,0.0,1.0
NumberOfMorphemes.2.0,2723.0,,,,1.1145795078957033,0.39198959031923397,1.0,1.0,1.0,1.0,6.0
SignOnset(ms),2723.0,,,,510.91112743297833,124.44690048659152,67.0,434.0,501.0,567.0,1668.0
SignOffset(ms),2723.0,,,,1362.2919573999266,320.4595506769667,534.0,1134.0,1368.0,1568.0,3103.0
SignDuration(ms),2723.0,,,,851.453911127433,300.0058381539736,200.0,634.0,834.0,1034.0,2603.0
ClipDuration(ms),2723.0,,,,1971.6698494307748,362.44384611288206,701.0,1768.0,1969.0,2169.0,3737.0
Handshape.2.0,2723,58,1,274,,,,,,,
MarkedHandshape.2.0,2723.0,,,,0.5042232831435917,0.5000739960836716,0.0,0.0,1.0,1.0,1.0
SelectedFingers.2.0,2723,12,imrp,1221,,,,,,,
Flexion.2.0,2567,7,FullyOpen,1050,,,,,,,
FlexionChange.2.0,2541.0,,,,0.209366391184573,0.4069364514849563,0.0,0.0,0.0,0.0,1.0
Spread.2.0,1393.0,,,,0.3969849246231156,0.48944853489110834,0.0,0.0,0.0,1.0,1.0
SpreadChange.2.0,1585.0,,,,0.122397476340694,0.32784775043970427,0.0,0.0,0.0,0.0,1.0
ThumbPosition.2.0,2723,2,Open,1794,,,,,,,
ThumbContact.2.0,2567.0,,,,0.3163225555122711,0.46513103146512863,0.0,0.0,0.0,1.0,1.0
SignType.2.0,2723,6,OneHanded,1067,,,,,,,
Movement.2.0,2306,7,Straight,1245,,,,,,,
RepeatedMovement.2.0,2723.0,,,,0.4458318031582813,0.4971484413413007,0.0,0.0,0.0,1.0,1.0
MajorLocation.2.0,2723,6,Neutral,988,,,,,,,
MinorLocation.2.0,2723,37,Neutral,989,,,,,,,
SecondMinorLocation.2.0,1919,37,Neutral,817,,,,,,,
Contact.2.0,2723.0,,,,0.622107969151671,0.48494949260824616,0.0,0.0,1.0,1.0,1.0
NonDominantHandshape.2.0,1656,56,B,277,,,,,,,
UlnarRotation.2.0,2723.0,,,,0.16452442159383032,0.37081887021325144,0.0,0.0,0.0,0.0,1.0
HandshapeM2.2.0,259,38,open_b,46,,,,,,,
MarkedHandshapeM2.2.0,259.0,,,,0.5405405405405406,0.4993186222527544,0.0,0.0,1.0,1.0,1.0
SelectedFingersM2.2.0,259,7,imrp,146,,,,,,,
FlexionM2.2.0,242,6,FullyOpen,121,,,,,,,
FlexionChangeM2.2.0,211.0,,,,0.13744075829383887,0.3451308793119798,0.0,0.0,0.0,0.0,1.0
SpreadM2.2.0,152.0,,,,0.3026315789473684,0.4609157841252224,0.0,0.0,0.0,1.0,1.0
SpreadChangeM2.2.0,153.0,,,,0.05228758169934641,0.22333741505442456,0.0,0.0,0.0,0.0,1.0
ThumbPositionM2.2.0,259,2,Open,194,,,,,,,
ThumbContactM2.2.0,242.0,,,,0.2809917355371901,0.45041503213839185,0.0,0.0,0.0,1.0,1.0
SignTypeM2.2.0,225,4,SymmetricalOrAlternating,87,,,,,,,
MovementM2.2.0,164,5,Straight,120,,,,,,,
RepeatedMovementM2.2.0,35.0,,,,0.2571428571428571,0.44343957363115993,0.0,0.0,0.0,0.5,1.0
MajorLocationM2.2.0,225,5,Neutral,114,,,,,,,
MinorLocationM2.2.0,225,22,Neutral,114,,,,,,,
SecondMinorLocationM2.2.0,141,13,Neutral,89,,,,,,,
ContactM2.2.0,225.0,,,,0.43555555555555553,0.4969350505291858,0.0,0.0,0.0,1.0,1.0
NonDominantHandshapeM2.2.0,160,30,open_b,35,,,,,,,
UlnarRotationM2.2.0,226.0,,,,0.04424778761061947,0.20610161597181786,0.0,0.0,0.0,0.0,1.0
HandshapeM3.2.0,34,19,5,7,,,,,,,
MarkedHandshapeM3.2.0,34.0,,,,0.5294117647058824,0.5066403971048989,0.0,0.0,1.0,1.0,1.0
SelectedFingersM3.2.0,34,5,imrp,20,,,,,,,
FlexionM3.2.0,33,6,FullyOpen,16,,,,,,,
FlexionChangeM3.2.0,21.0,,,,0.09523809523809523,0.3007926037591192,0.0,0.0,0.0,0.0,1.0
SpreadM3.2.0,26.0,,,,0.4230769230769231,0.5038314736557788,0.0,0.0,0.0,1.0,1.0
SpreadChangeM3.2.0,19.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ThumbPositionM3.2.0,34,2,Open,23,,,,,,,
ThumbContactM3.2.0,33.0,,,,0.30303030303030304,0.4666937221594376,0.0,0.0,0.0,1.0,1.0
SignTypeM3.2.0,22,4,SymmetricalOrAlternating,10,,,,,,,
MovementM3.2.0,9,3,Straight,6,,,,,,,
RepeatedMovementM3.2.0,8.0,,,,0.125,0.3535533905932738,0.0,0.0,0.0,0.0,1.0
MajorLocationM3.2.0,22,4,Neutral,9,,,,,,,
MinorLocationM3.2.0,22,8,Neutral,9,,,,,,,
SecondMinorLocationM3.2.0,11,4,Neutral,7,,,,,,,
ContactM3.2.0,22.0,,,,0.5,0.511766315719159,0.0,0.0,0.5,1.0,1.0
NonDominantHandshapeM3.2.0,14,6,5,3,,,,,,,
UlnarRotationM3.2.0,22.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HandshapeM4.2.0,10,7,5,3,,,,,,,
MarkedHandshapeM4.2.0,10.0,,,,0.4,0.5163977794943222,0.0,0.0,0.0,1.0,1.0
SelectedFingersM4.2.0,11,5,imrp,4,,,,,,,
FlexionM4.2.0,9,4,FullyOpen,4,,,,,,,
FlexionChangeM4.2.0,7.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SpreadM4.2.0,4.0,,,,0.75,0.5,0.0,0.75,1.0,1.0,1.0
SpreadChangeM4.2.0,3.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ThumbPositionM4.2.0,11,2,Open,10,,,,,,,
ThumbContactM4.2.0,9.0,,,,0.4444444444444444,0.5270462766947299,0.0,0.0,0.0,1.0,1.0
SignTypeM4.2.0,4,3,OneHanded,2,,,,,,,
MovementM4.2.0,1,1,Straight,1,,,,,,,
RepeatedMovementM4.2.0,1.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0
MajorLocationM4.2.0,4,3,Body,2,,,,,,,
MinorLocationM4.2.0,4,3,TorsoTop,2,,,,,,,
SecondMinorLocationM4.2.0,1,1,HandAway,1,,,,,,,
ContactM4.2.0,4.0,,,,0.75,0.5,0.0,0.75,1.0,1.0,1.0
NonDominantHandshapeM4.2.0,1.0,,,,5.0,,5.0,5.0,5.0,5.0,5.0
UlnarRotationM4.2.0,0.0,,,,,,,,,,
HandshapeM5.2.0,3,3,curved_v,1,,,,,,,
MarkedHandshapeM5.2.0,3.0,,,,0.6666666666666666,0.5773502691896258,0.0,0.5,1.0,1.0,1.0
SelectedFingersM5.2.0,3,3,im,1,,,,,,,
FlexionM5.2.0,3,3,Curved,1,,,,,,,
FlexionChangeM5.2.0,0.0,,,,,,,,,,
SpreadM5.2.0,2.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SpreadChangeM5.2.0,0.0,,,,,,,,,,
ThumbPositionM5.2.0,3,2,Open,2,,,,,,,
ThumbContactM5.2.0,3.0,,,,0.3333333333333333,0.5773502691896258,0.0,0.0,0.0,0.5,1.0
SignTypeM5.2.0,0.0,,,,,,,,,,
MovementM5.2.0,0.0,,,,,,,,,,
RepeatedMovementM5.2.0,0.0,,,,,,,,,,
MajorLocationM5.2.0,0.0,,,,,,,,,,
MinorLocationM5.2.0,0.0,,,,,,,,,,
SecondMinorLocationM5.2.0,0.0,,,,,,,,,,
ContactM5.2.0,0.0,,,,,,,,,,
NonDominantHandshapeM5.2.0,0.0,,,,,,,,,,
UlnarRotationM5.2.0,0.0,,,,,,,,,,
HandshapeM6.2.0,1,1,r,1,,,,,,,
MarkedHandshapeM6.2.0,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0
SelectedFingersM6.2.0,1,1,im,1,,,,,,,
FlexionM6.2.0,1,1,Crossed,1,,,,,,,
FlexionChangeM6.2.0,0.0,,,,,,,,,,
SpreadM6.2.0,1.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0
SpreadChangeM6.2.0,0.0,,,,,,,,,,
ThumbPositionM6.2.0,2,2,Open,1,,,,,,,
ThumbContactM6.2.0,1.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0
SignTypeM6.2.0,0.0,,,,,,,,,,
MovementM6.2.0,0.0,,,,,,,,,,
RepeatedMovementM6.2.0,0.0,,,,,,,,,,
MajorLocationM6.2.0,0.0,,,,,,,,,,
MinorLocationM6.2.0,0.0,,,,,,,,,,
SecondMinorLocationM6.2.0,0.0,,,,,,,,,,
ContactM6.2.0,0.0,,,,,,,,,,
NonDominantHandshapeM6.2.0,0.0,,,,,,,,,,
UlnarRotationM6.2.0,0.0,,,,,,,,,,
SignType.2.0Frequency,2723.0,,,,0.30724274697025333,0.11152085788285963,0.006,0.175,0.345,0.392,0.392
MajorLocation.2.0Frequency,2723.0,,,,0.27472493573264783,0.08776696018908055,0.0,0.25,0.266,0.363,0.363
MinorLocation.2.0Frequency,2723.0,,,,0.15539662137348512,0.1578016915648673,0.001,0.032,0.066,0.363,0.363
SecondMinorLocation.2.0Frequency,2723.0,,,,0.17006316562614762,0.17954044030370925,0.0,0.0,0.155,0.426,0.426
Movement.2.0Frequency,2723.0,,,,0.2944080058758722,0.15972172911491783,0.004,0.153,0.233,0.457,0.457
SelectedFingers.2.0Frequency,2723.0,,,,0.2956874770473742,0.15457526961357204,0.0,0.14,0.261,0.449,0.449
Flexion.2.0Frequency,2723.0,,,,0.24446015424164524,0.1440026640024408,0.0,0.162,0.225,0.409,0.409
FlexionChange.2.0Frequency,2723.0,,,,0.6244241645244217,0.2833349748414342,0.0,0.209,0.791,0.791,0.791
RepeatedMovement.2.0Frequency,2723.0,,,,0.5058501652589057,0.05369203166486049,0.446,0.446,0.554,0.554,0.554
Contact.2.0Frequency,2723.0,,,,0.5297943444730077,0.11832767619641206,0.378,0.378,0.622,0.622,0.622
Spread.2.0Frequency,2723.0,,,,0.26653470437017995,0.2700945581492176,0.0,0.0,0.398,0.602,0.602
SpreadChange.2.0Frequency,2723.0,,,,0.4572038193169299,0.43114594065766615,0.0,0.0,0.878,0.878,0.878
ThumbContact.2.0Frequency,2723.0,,,,0.5350760190965848,0.21219105671449295,0.0,0.316,0.684,0.684,0.684
ThumbPosition.2.0Frequency,2723.0,,,,0.5494120455380095,0.1490490129468687,0.343,0.343,0.657,0.657,0.657
UlnarRotation.2.0Frequency,2723.0,,,,0.7254395886889461,0.24919028078330493,0.164,0.836,0.836,0.836,0.836
Neighborhood Density 2.0,2723.0,,,,4.997796547925082,7.431785963556434,0.0,1.0,3.0,7.0,50.0
Parameter.Neighborhood.Density.2.0,2723.0,,,,273.5387440323173,149.47648376931542,1.0,143.0,267.0,384.5,563.0
PhonotacticProbability,2723.0,,,,-1.0282776349612448e-05,0.34550526828964695,-1.269,-0.2175,-0.009,0.235,0.906
Phonological Complexity,2697.0,,,,1.9325176121616612,1.014676828990317,0.0,1.0,2.0,2.0,6.0
SignBankAnnotationID,2003,1864,SHOUT,4,,,,,,,
SignBankEnglishTranslations,1984,1803,"cry out, shout, scream, yell",4,,,,,,,
SignBankLemmaID,1989,1784,DOG,4,,,,,,,
SignBankSemanticField,877,12,Event,412,,,,,,,
SignBankReferenceID,1989.0,,,,1352.686274509804,923.6644941232017,0.0,578.0,1180.0,2038.0,3370.0
InCDI,2723,2,No,2187,,,,,,,
CDISemanticCategory,568,21,Action Signs,128,,,,,,,
bglm_aoa,533.0,,,,34.75609756097561,8.67763228280484,14.0,28.0,33.0,40.0,67.0
empirical_aoa,533.0,,,,25.5046904315197,7.261656208526353,9.0,19.0,28.0,28.0,60.0
